year,industry_code,value
1987.0,0,1377700.0
1987.0,"11,21,22,23,31,32,33",333800.0
1987.0,"1100  1129, 1151  1152",31700.0
1987.0,1111  1119,15500.0
1987.0,1121  1129,14100.0
1987.0,1100,1600.0
1987.0,1151  1152,
1987.0,"1131  1142, 1153, 2100  2131",49500.0
1987.0,"1131  1133, 1153",24000.0
1987.0,1141  1142,6100.0
1987.0,2100  2131,19400.0
1987.0,2111,1900.0
1987.0,"2121  2123, 2100",14600.0
1987.0,2131,2900.0
1987.0,2211  2213,9300.0
1987.0,2361  2389,80400.0
1987.0,23612362,20600.0
1987.0,2361,16300.0
1987.0,2362,4400.0
1987.0,23712379,13400.0
1987.0,2371,
1987.0,2372,
1987.0,2373,9500.0
1987.0,2379,1600.0
1987.0,2381  2389,46400.0
1987.0,2381,11200.0
1987.0,2382,16600.0
1987.0,2383,10800.0
1987.0,2389,7700.0
1987.0,3111  3399,162900.0
1987.0,3111  3119,19400.0
1987.0,3121  3122,4600.0
1987.0,"3131  3133, 3141  3149",1700.0
1987.0,"3151  3159, 3161  3169",4800.0
1987.0,3211  3219,47300.0
1987.0,3221  3222,17600.0
1987.0,3231,8000.0
1987.0,3241,2000.0
1987.0,3251  3259,2800.0
1987.0,3261  3262,4200.0
1987.0,3271  3279,3400.0
1987.0,3311  3315,9600.0
1987.0,3321  3329,9600.0
1987.0,3331  3339,4900.0
1987.0,3341  3346,2100.0
1987.0,3351  3359,
1987.0,3361  3369,9800.0
1987.0,3361  3363,3400.0
1987.0,3364  3369,6400.0
1987.0,3371  3379,5200.0
1987.0,3391  3399,5100.0
1987.0,"3211  3219, 3271  3279, 3311  3399",97800.0
1987.0,"3111  3169, 3221  3262",65200.0
1987.0,41 & over,1043900.0
1987.0,4111  4543,233900.0
1987.0,4111  4191,53500.0
1987.0,4111,
1987.0,4121,1500.0
1987.0,4131  4133,8300.0
1987.0,4141  4145,6500.0
1987.0,4151  4153,4000.0
1987.0,4161  4163,8800.0
1987.0,4171  4179,15400.0
1987.0,"4181  4189, 4191",8000.0
1987.0,4411  4543,180500.0
1987.0,4411  4413,18300.0
1987.0,4421  4422,7000.0
1987.0,4431,5500.0
1987.0,4441  4442,10600.0
1987.0,4451  4453,41900.0
1987.0,4461,10200.0
1987.0,4471,14700.0
1987.0,4481  4483,18100.0
1987.0,4511  4513,8600.0
1987.0,4521  4529,29900.0
1987.0,4531  4539,9800.0
1987.0,4541  4543,6100.0
1987.0,4811  4931,85400.0
1987.0,4811  4922,82800.0
1987.0,4811  4812,9900.0
1987.0,4821,11600.0
1987.0,4831  4832,5100.0
1987.0,4841  4842,21300.0
1987.0,4851  4859,9100.0
1987.0,4861  4869,
1987.0,"4871  4879 , 4881  4889",12300.0
1987.0,4911,8600.0
1987.0,4921  4922,4500.0
1987.0,4931,2500.0
1987.0,5211  5331,90500.0
1987.0,"5211, 5221  5223",31000.0
1987.0,5231  5239,9500.0
1987.0,"5241  5242, 5261  5269",17600.0
1987.0,5311  5313,25400.0
1987.0,"5321  5324, 5331",7000.0
1987.0,5411  5419,67000.0
1987.0,5411,16600.0
1987.0,5412,8900.0
1987.0,5413  5414,18700.0
1987.0,5415,5600.0
1987.0,5416  5417,7500.0
1987.0,5418,4400.0
1987.0,5419,5400.0
1987.0,5511  5629,35100.0
1987.0,5613,2700.0
1987.0,5614,2500.0
1987.0,5615,4900.0
1987.0,5616,5100.0
1987.0,5617,16100.0
1987.0,"5511, 5611  5612, 5619",2900.0
1987.0,5621  5629,
1987.0,6111  6117,84000.0
1987.0,6111,52200.0
1987.0,6112,8000.0
1987.0,6113,17600.0
1987.0,6114  6117,6200.0
1987.0,6211  6244,124700.0
1987.0,6211  6219,28100.0
1987.0,6220,56100.0
1987.0,6230,14700.0
1987.0,6241  6244,25900.0
1987.0,"5111  5191, 7111  7139",67000.0
1987.0,"5111  5112, 5161",9700.0
1987.0,5121  5122,4000.0
1987.0,"5151  5152, 5171  5179",25300.0
1987.0,5181  5191,4100.0
1987.0,7111  7115,9500.0
1987.0,7121,1700.0
1987.0,7131  7139,12600.0
1987.0,7211  7225,99700.0
1987.0,7211  7213,25400.0
1987.0,7221  7224,74300.0
1987.0,8111  8141,75300.0
1987.0,8111  8114,23600.0
1987.0,8121  8129,20200.0
1987.0,8131  8139,16500.0
1987.0,8141,15000.0
1987.0,9110  9191,81300.0
1987.0,"9110, 9111",27700.0
1987.0,9120,27100.0
1987.0,"9130, 9141, 9191",26600.0
1988.0,0,1434600.0
1988.0,"11,21,22,23,31,32,33",351500.0
1988.0,"1100  1129, 1151  1152",31100.0
1988.0,1111  1119,12800.0
1988.0,1121  1129,14800.0
1988.0,1100,2400.0
1988.0,1151  1152,
1988.0,"1131  1142, 1153, 2100  2131",50300.0
1988.0,"1131  1133, 1153",25300.0
1988.0,1141  1142,6400.0
1988.0,2100  2131,18600.0
1988.0,2111,1800.0
1988.0,"2121  2123, 2100",13000.0
1988.0,2131,3800.0
1988.0,2211  2213,9500.0
1988.0,2361  2389,91600.0
1988.0,23612362,28100.0
1988.0,2361,21500.0
1988.0,2362,6600.0
1988.0,23712379,14200.0
1988.0,2371,1700.0
1988.0,2372,2200.0
1988.0,2373,9300.0
1988.0,2379,
1988.0,2381  2389,49200.0
1988.0,2381,11100.0
1988.0,2382,15000.0
1988.0,2383,11900.0
1988.0,2389,11200.0
1988.0,3111  3399,169100.0
1988.0,3111  3119,18300.0
1988.0,3121  3122,4700.0
1988.0,"3131  3133, 3141  3149",3100.0
1988.0,"3151  3159, 3161  3169",3800.0
1988.0,3211  3219,43700.0
1988.0,3221  3222,20800.0
1988.0,3231,8400.0
1988.0,3241,
1988.0,3251  3259,2500.0
1988.0,3261  3262,3900.0
1988.0,3271  3279,5700.0
1988.0,3311  3315,10600.0
1988.0,3321  3329,11200.0
1988.0,3331  3339,3800.0
1988.0,3341  3346,3100.0
1988.0,3351  3359,3100.0
1988.0,3361  3369,7800.0
1988.0,3361  3363,3000.0
1988.0,3364  3369,4800.0
1988.0,3371  3379,5800.0
1988.0,3391  3399,7400.0
1988.0,"3211  3219, 3271  3279, 3311  3399",102300.0
1988.0,"3111  3169, 3221  3262",66800.0
1988.0,41 & over,1083100.0
1988.0,4111  4543,246300.0
1988.0,4111  4191,51400.0
1988.0,4111,
1988.0,4121,2100.0
1988.0,4131  4133,10000.0
1988.0,4141  4145,6700.0
1988.0,4151  4153,4200.0
1988.0,4161  4163,5700.0
1988.0,4171  4179,13000.0
1988.0,"4181  4189, 4191",8300.0
1988.0,4411  4543,194900.0
1988.0,4411  4413,20800.0
1988.0,4421  4422,5700.0
1988.0,4431,8000.0
1988.0,4441  4442,9900.0
1988.0,4451  4453,42700.0
1988.0,4461,12400.0
1988.0,4471,14400.0
1988.0,4481  4483,17800.0
1988.0,4511  4513,9800.0
1988.0,4521  4529,31900.0
1988.0,4531  4539,13700.0
1988.0,4541  4543,8000.0
1988.0,4811  4931,88500.0
1988.0,4811  4922,84900.0
1988.0,4811  4812,13800.0
1988.0,4821,9700.0
1988.0,4831  4832,6900.0
1988.0,4841  4842,22500.0
1988.0,4851  4859,8200.0
1988.0,4861  4869,
1988.0,"4871  4879 , 4881  4889",10200.0
1988.0,4911,9100.0
1988.0,4921  4922,3300.0
1988.0,4931,3600.0
1988.0,5211  5331,96300.0
1988.0,"5211, 5221  5223",34000.0
1988.0,5231  5239,13400.0
1988.0,"5241  5242, 5261  5269",15000.0
1988.0,5311  5313,27700.0
1988.0,"5321  5324, 5331",6200.0
1988.0,5411  5419,77700.0
1988.0,5411,14000.0
1988.0,5412,11000.0
1988.0,5413  5414,23400.0
1988.0,5415,8000.0
1988.0,5416  5417,9000.0
1988.0,5418,6600.0
1988.0,5419,5700.0
1988.0,5511  5629,36400.0
1988.0,5613,3500.0
1988.0,5614,2700.0
1988.0,5615,3700.0
1988.0,5616,5800.0
1988.0,5617,16400.0
1988.0,"5511, 5611  5612, 5619",2500.0
1988.0,5621  5629,1800.0
1988.0,6111  6117,86600.0
1988.0,6111,56800.0
1988.0,6112,7500.0
1988.0,6113,16300.0
1988.0,6114  6117,6000.0
1988.0,6211  6244,128600.0
1988.0,6211  6219,31600.0
1988.0,6220,55700.0
1988.0,6230,16200.0
1988.0,6241  6244,25100.0
1988.0,"5111  5191, 7111  7139",64100.0
1988.0,"5111  5112, 5161",10500.0
1988.0,5121  5122,3100.0
1988.0,"5151  5152, 5171  5179",22300.0
1988.0,5181  5191,5400.0
1988.0,7111  7115,9700.0
1988.0,7121,3100.0
1988.0,7131  7139,10000.0
1988.0,7211  7225,104600.0
1988.0,7211  7213,28000.0
1988.0,7221  7224,76600.0
1988.0,8111  8141,74100.0
1988.0,8111  8114,23000.0
1988.0,8121  8129,18800.0
1988.0,8131  8139,17400.0
1988.0,8141,14800.0
1988.0,9110  9191,79900.0
1988.0,"9110, 9111",27700.0
1988.0,9120,25700.0
1988.0,"9130, 9141, 9191",26500.0
1989.0,0,1508300.0
1989.0,"11,21,22,23,31,32,33",383800.0
1989.0,"1100  1129, 1151  1152",32000.0
1989.0,1111  1119,13300.0
1989.0,1121  1129,16400.0
1989.0,1100,1700.0
1989.0,1151  1152,
1989.0,"1131  1142, 1153, 2100  2131",55000.0
1989.0,"1131  1133, 1153",26500.0
1989.0,1141  1142,7100.0
1989.0,2100  2131,21500.0
1989.0,2111,2900.0
1989.0,"2121  2123, 2100",14500.0
1989.0,2131,4000.0
1989.0,2211  2213,11000.0
1989.0,2361  2389,108400.0
1989.0,23612362,30900.0
1989.0,2361,24500.0
1989.0,2362,6400.0
1989.0,23712379,14900.0
1989.0,2371,2200.0
1989.0,2372,2300.0
1989.0,2373,9700.0
1989.0,2379,
1989.0,2381  2389,62500.0
1989.0,2381,17600.0
1989.0,2382,18900.0
1989.0,2383,14100.0
1989.0,2389,12000.0
1989.0,3111  3399,177400.0
1989.0,3111  3119,18500.0
1989.0,3121  3122,2900.0
1989.0,"3131  3133, 3141  3149",2800.0
1989.0,"3151  3159, 3161  3169",4200.0
1989.0,3211  3219,50000.0
1989.0,3221  3222,24500.0
1989.0,3231,7600.0
1989.0,3241,2000.0
1989.0,3251  3259,3000.0
1989.0,3261  3262,4100.0
1989.0,3271  3279,4200.0
1989.0,3311  3315,9600.0
1989.0,3321  3329,9700.0
1989.0,3331  3339,5500.0
1989.0,3341  3346,5700.0
1989.0,3351  3359,2600.0
1989.0,3361  3369,9300.0
1989.0,3361  3363,4500.0
1989.0,3364  3369,4800.0
1989.0,3371  3379,5200.0
1989.0,3391  3399,6100.0
1989.0,"3211  3219, 3271  3279, 3311  3399",107900.0
1989.0,"3111  3169, 3221  3262",69500.0
1989.0,41 & over,1124500.0
1989.0,4111  4543,250600.0
1989.0,4111  4191,53900.0
1989.0,4111,
1989.0,4121,
1989.0,4131  4133,10800.0
1989.0,4141  4145,7600.0
1989.0,4151  4153,3800.0
1989.0,4161  4163,6400.0
1989.0,4171  4179,14400.0
1989.0,"4181  4189, 4191",8600.0
1989.0,4411  4543,196700.0
1989.0,4411  4413,22500.0
1989.0,4421  4422,7500.0
1989.0,4431,7400.0
1989.0,4441  4442,13100.0
