year,month,value
1994,1,320101
1994,2,315660
1994,3,429018
1994,4,443933
1994,5,550832
1994,6,645375
1994,7,872739
1994,8,900196
1994,9,657317
1994,10,518466
1994,11,377843
1994,12,480126
1995,1,352191
1995,2,350297
1995,3,445549
1995,4,473641
1995,5,591760
1995,6,706363
1995,7,937117
1995,8,989398
1995,9,721132
1995,10,551664
1995,11,422721
1995,12,511639
1996,1,382223
1996,2,409363
1996,3,523869
1996,4,515657
1996,5,655355
1996,6,776024
1996,7,1008852
1996,8,1086488
1996,9,742094
1996,10,577194
1996,11,434704
1996,12,507566
1997,1,406973
1997,2,424595
1997,3,529255
1997,4,514677
1997,5,674275
1997,6,765125
1997,7,1018152
1997,8,1108235
1997,9,735929
1997,10,582099
1997,11,456070
1997,12,545609
1998,1,423924
1998,2,416283
1998,3,521274
1998,4,532716
1998,5,669034
1998,6,762223
1998,7,1030782
1998,8,1084839
1998,9,774140
1998,10,621036
1998,11,465980
1998,12,563252
1999,1,453792
1999,2,461156
1999,3,569632
1999,4,575939
1999,5,703363
1999,6,763929
1999,7,1082753
1999,8,1185438
1999,9,802748
1999,10,609823
1999,11,497291
1999,12,580356
2000,1,450758
2000,2,477419
2000,3,596800
2000,4,606670
2000,5,700235
2000,6,802255
2000,7,1092034
2000,8,1133919
2000,9,812438
2000,10,627229
2000,11,524773
2000,12,624012
2001,1,480457
2001,2,485290
2001,3,624346
2001,4,604046
2001,5,715010
2001,6,800218
2001,7,1092372
2001,8,1188883
2001,9,699646
2001,10,556526
2001,11,477930
2001,12,622429
2002,1,459085
2002,2,475658
2002,3,586523
2002,4,555759
2002,5,700751
2002,6,788960
2002,7,1061095
2002,8,1176256
2002,9,744478
2002,10,632989
2002,11,502412
2002,12,637717
2003,1,484780
2003,2,476094
2003,3,543998
2003,4,515749
2003,5,629750
2003,6,716355
2003,7,1007070
2003,8,1152845
2003,9,716163
2003,10,611593
2003,11,489240
2003,12,623561
2004,1,472065
2004,2,494677
2004,3,582349
2004,4,571237
2004,5,722821
2004,6,804406
2004,7,1115391
2004,8,1140806
2004,9,803817
2004,10,643788
2004,11,501766
2004,12,670181
2005,1,476156
2005,2,499045
2005,3,604930
2005,4,571701
2005,5,732874
2005,6,816246
2005,7,1124737
2005,8,1141062
2005,9,822532
2005,10,627771
2005,11,513786
2005,12,674030
2006,1,487941
2006,2,475487
2006,3,595914
2006,4,594081
2006,5,735236
2006,6,836542
2006,7,1123341
2006,8,1201005
2006,9,817837
2006,10,649590
2006,11,510894
2006,12,665057
2007,1,490826
2007,2,495184
2007,3,615416
2007,4,592408
2007,5,764752
2007,6,866845
2007,7,1128814
2007,8,1265331
2007,9,835890
2007,10,649447
2007,11,536793
2007,12,670819
2008,1,505342
2008,2,507199
2008,3,616632
2008,4,563747
2008,5,776136
2008,6,850239
2008,7,1085534
2008,8,1240290
2008,9,752130
2008,10,621916
2008,11,504039
2008,12,605899
2009,1,470998
2009,2,448039
2009,3,548375
2009,4,548105
2009,5,708536
2009,6,763979
2009,7,1028981
2009,8,1185332
2009,9,744141
2009,10,588308
2009,11,471111
2009,12,604918
2010,1,462620
2010,2,547357
2010,3,572043
2010,4,556963
2010,5,720519
2010,6,796725
2010,7,1067608
2010,8,1190159
2010,9,750035
2010,10,629045
2010,11,490484
2010,12,631808
2011,1,461719
2011,2,439331
2011,3,547718
2011,4,553829
2011,5,727873
2011,6,814262
2011,7,1074082
2011,8,1171575
2011,9,762592
2011,10,593587
2011,11,497853
2011,12,646264
2012,1,473265
2012,2,459993
2012,3,575851
2012,4,560514
2012,5,719019
2012,6,803456
2012,7,1049201
2012,8,1203581
2012,9,754256
2012,10,609935
2012,11,501652
2012,12,632218
2013,1,467602
2013,2,458374
2013,3,570010
2013,4,543500
2013,5,722509
2013,6,838295
2013,7,1100210
2013,8,1273570
2013,9,777306
2013,10,622342
2013,11,528055
2013,12,667697
2014,1,507961
2014,2,465482
2014,3,580854
2014,4,583315
2014,5,765039
2014,6,862052
2014,7,1133171
2014,8,1335210
2014,9,804423
2014,10,656074
2014,11,541541
2014,12,700315
2015,1,517191
2015,2,501966
2015,3,614989
2015,4,600922
2015,5,800111
2015,6,908099
2015,7,1220078
2015,8,1332959
2015,9,854836
2015,10,696119
2015,11,569735
2015,12,751516
2016,1,555732
2016,2,558997
2016,3,696069
2016,4,657218
2016,5,827883
2016,6,957444
2016,7,1304899
2016,8,1387289
2016,9,936923
2016,10,734978
2016,11,615825
2016,12,811811
2017,1,584243
2017,2,552627
2017,3,688004
2017,4,708618
2017,5,857309
2017,6,1009303
2017,7,1332733
2017,8,1443853
2017,9,968123
2017,10,778442
2017,11,624787
2017,12,830702
2018,1,594519
2018,2,585762
2018,3,741451
2018,4,684844
2018,5,919453
2018,6,1082081
2018,7,1359328
2018,8,1492987
2018,9,985075
2018,10,797400
2018,11,679496
2018,12,838728
