state,region,year,value
Rondônia,Madeira-Guaporé,2002,2903642.81
Rondônia,Madeira-Guaporé,2003,3542366.88
Rondônia,Madeira-Guaporé,2004,4328270.64
Rondônia,Madeira-Guaporé,2005,4871565.76
Rondônia,Madeira-Guaporé,2006,5210185.96
Rondônia,Madeira-Guaporé,2007,5725773.26
Rondônia,Madeira-Guaporé,2008,6836125.96
Rondônia,Madeira-Guaporé,2009,8564778.63
Rondônia,Madeira-Guaporé,2010,11177549.49
Rondônia,Madeira-Guaporé,2011,13546245.02
Rondônia,Madeira-Guaporé,2012,14298553.73
Rondônia,Madeira-Guaporé,2013,14286915.65
Rondônia,Madeira-Guaporé,2014,15611905.02
Rondônia,Madeira-Guaporé,2015,17086962.65
Rondônia,Madeira-Guaporé,2016,18108011.83
Rondônia,Madeira-Guaporé,2017,20315306.68
Rondônia,Leste Rondoniense,2002,4563987.07
Rondônia,Leste Rondoniense,2003,5882643.6
Rondônia,Leste Rondoniense,2004,6676370.8
Rondônia,Leste Rondoniense,2005,7640255.42
Rondônia,Leste Rondoniense,2006,7844527.38
Rondônia,Leste Rondoniense,2007,8712603.24
Rondônia,Leste Rondoniense,2008,10449415.77
Rondônia,Leste Rondoniense,2009,11160230.87
Rondônia,Leste Rondoniense,2010,12730337.39
Rondônia,Leste Rondoniense,2011,14028469.36
Rondônia,Leste Rondoniense,2012,15814166.6
Rondônia,Leste Rondoniense,2013,16834496.88
Rondônia,Leste Rondoniense,2014,18419076.95
Rondônia,Leste Rondoniense,2015,19476370.05
Rondônia,Leste Rondoniense,2016,21352347.15
Rondônia,Leste Rondoniense,2017,23191192.15
Acre,Vale do Juruá,2002,529029.41
Acre,Vale do Juruá,2003,604101.23
Acre,Vale do Juruá,2004,656524.66
Acre,Vale do Juruá,2005,759512.33
Acre,Vale do Juruá,2006,828454.15
Acre,Vale do Juruá,2007,1001914.22
Acre,Vale do Juruá,2008,1199552.36
Acre,Vale do Juruá,2009,1380042.79
Acre,Vale do Juruá,2010,1616720.26
Acre,Vale do Juruá,2011,1647967.92
Acre,Vale do Juruá,2012,1826724.28
Acre,Vale do Juruá,2013,2161365.88
Acre,Vale do Juruá,2014,2535895.62
Acre,Vale do Juruá,2015,2458068.46
Acre,Vale do Juruá,2016,2734296.56
Acre,Vale do Juruá,2017,2875536.62
Acre,Vale do Acre,2002,2442271.87
Acre,Vale do Acre,2003,2773133.02
Acre,Vale do Acre,2004,3127477.92
Acre,Vale do Acre,2005,3541068.94
Acre,Vale do Acre,2006,3833352.81
Acre,Vale do Acre,2007,4456257.95
Acre,Vale do Acre,2008,5210702.32
Acre,Vale do Acre,2009,6027778.61
Acre,Vale do Acre,2010,6725635.27
Acre,Vale do Acre,2011,7301465.84
Acre,Vale do Acre,2012,8311200.43
