year,quarter,job_type,state,value
2012,Q1,Directors and managers,Rondônia,2232
2012,Q1,Directors and managers,Acre,3048
2012,Q1,Directors and managers,Amazonas,3787
2012,Q1,Directors and managers,Roraima,3450
2012,Q1,Directors and managers,Pará,2455
2012,Q1,Directors and managers,Amapá,2961
2012,Q1,Directors and managers,Tocantins,2592
2012,Q1,Directors and managers,Maranhão,2053
2012,Q1,Directors and managers,Piauí,1692
2012,Q1,Directors and managers,Ceará,2341
2012,Q1,Directors and managers,Rio Grande do Norte,2202
2012,Q1,Directors and managers,Paraíba,2098
2012,Q1,Directors and managers,Pernambuco,3417
2012,Q1,Directors and managers,Alagoas,2174
2012,Q1,Directors and managers,Sergipe,2831
2012,Q1,Directors and managers,Bahia,2844
2012,Q1,Directors and managers,Minas Gerais,3010
2012,Q1,Directors and managers,Espírito Santo,2746
2012,Q1,Directors and managers,Rio de Janeiro,3330
2012,Q1,Directors and managers,São Paulo,4542
2012,Q1,Directors and managers,Paraná,3265
2012,Q1,Directors and managers,Santa Catarina,2862
2012,Q1,Directors and managers,Rio Grande do Sul,3175
2012,Q1,Directors and managers,Mato Grosso do Sul,3174
2012,Q1,Directors and managers,Mato Grosso,4673
2012,Q1,Directors and managers,Goiás,3218
2012,Q1,Directors and managers,Distrito Federal,5783
2012,Q1,Science and intellection professions,Rondônia,2485
2012,Q1,Science and intellection professions,Acre,2610
2012,Q1,Science and intellection professions,Amazonas,2573
2012,Q1,Science and intellection professions,Roraima,2834
2012,Q1,Science and intellection professions,Pará,2252
2012,Q1,Science and intellection professions,Amapá,2793
2012,Q1,Science and intellection professions,Tocantins,2739
2012,Q1,Science and intellection professions,Maranhão,1604
2012,Q1,Science and intellection professions,Piauí,2129
2012,Q1,Science and intellection professions,Ceará,1962
2012,Q1,Science and intellection professions,Rio Grande do Norte,2082
2012,Q1,Science and intellection professions,Paraíba,2035
2012,Q1,Science and intellection professions,Pernambuco,2475
2012,Q1,Science and intellection professions,Alagoas,1796
2012,Q1,Science and intellection professions,Sergipe,2727
2012,Q1,Science and intellection professions,Bahia,2500
2012,Q1,Science and intellection professions,Minas Gerais,2695
2012,Q1,Science and intellection professions,Espírito Santo,3124
2012,Q1,Science and intellection professions,Rio de Janeiro,3044
2012,Q1,Science and intellection professions,São Paulo,3692
2012,Q1,Science and intellection professions,Paraná,3033
2012,Q1,Science and intellection professions,Santa Catarina,3028
2012,Q1,Science and intellection professions,Rio Grande do Sul,3058
2012,Q1,Science and intellection professions,Mato Grosso do Sul,2853
2012,Q1,Science and intellection professions,Mato Grosso,2915
2012,Q1,Science and intellection professions,Goiás,3160
2012,Q1,Science and intellection professions,Distrito Federal,5844
2012,Q1,Midlevel technicians and professionals,Rondônia,1768
2012,Q1,Midlevel technicians and professionals,Acre,1844
2012,Q1,Midlevel technicians and professionals,Amazonas,1592
2012,Q1,Midlevel technicians and professionals,Roraima,1724
2012,Q1,Midlevel technicians and professionals,Pará,1619
2012,Q1,Midlevel technicians and professionals,Amapá,1866
2012,Q1,Midlevel technicians and professionals,Tocantins,1534
2012,Q1,Midlevel technicians and professionals,Maranhão,1110
2012,Q1,Midlevel technicians and professionals,Piauí,1531
2012,Q1,Midlevel technicians and professionals,Ceará,1472
2012,Q1,Midlevel technicians and professionals,Rio Grande do Norte,1573
2012,Q1,Midlevel technicians and professionals,Paraíba,1209
2012,Q1,Midlevel technicians and professionals,Pernambuco,1451
2012,Q1,Midlevel technicians and professionals,Alagoas,1339
2012,Q1,Midlevel technicians and professionals,Sergipe,1829
2012,Q1,Midlevel technicians and professionals,Bahia,1764
2012,Q1,Midlevel technicians and professionals,Minas Gerais,1715
2012,Q1,Midlevel technicians and professionals,Espírito Santo,1909
2012,Q1,Midlevel technicians and professionals,Rio de Janeiro,2038
2012,Q1,Midlevel technicians and professionals,São Paulo,2126
2012,Q1,Midlevel technicians and professionals,Paraná,1929
2012,Q1,Midlevel technicians and professionals,Santa Catarina,1825
2012,Q1,Midlevel technicians and professionals,Rio Grande do Sul,1938
2012,Q1,Midlevel technicians and professionals,Mato Grosso do Sul,1887
2012,Q1,Midlevel technicians and professionals,Mato Grosso,1954
2012,Q1,Midlevel technicians and professionals,Goiás,1766
2012,Q1,Midlevel technicians and professionals,Distrito Federal,3618
2012,Q1,Administrative support workers,Rondônia,1190
2012,Q1,Administrative support workers,Acre,1155
2012,Q1,Administrative support workers,Amazonas,1154
2012,Q1,Administrative support workers,Roraima,1403
2012,Q1,Administrative support workers,Pará,1028
2012,Q1,Administrative support workers,Amapá,1557
2012,Q1,Administrative support workers,Tocantins,1116
2012,Q1,Administrative support workers,Maranhão,873
2012,Q1,Administrative support workers,Piauí,1059
2012,Q1,Administrative support workers,Ceará,1039
2012,Q1,Administrative support workers,Rio Grande do Norte,1019
2012,Q1,Administrative support workers,Paraíba,1079
2012,Q1,Administrative support workers,Pernambuco,1076
2012,Q1,Administrative support workers,Alagoas,995
2012,Q1,Administrative support workers,Sergipe,1024
2012,Q1,Administrative support workers,Bahia,953
2012,Q1,Administrative support workers,Minas Gerais,1007
2012,Q1,Administrative support workers,Espírito Santo,1064
2012,Q1,Administrative support workers,Rio de Janeiro,1212
2012,Q1,Administrative support workers,São Paulo,1251
2012,Q1,Administrative support workers,Paraná,1292
2012,Q1,Administrative support workers,Santa Catarina,1231
2012,Q1,Administrative support workers,Rio Grande do Sul,1353
2012,Q1,Administrative support workers,Mato Grosso do Sul,1179
2012,Q1,Administrative support workers,Mato Grosso,1195
2012,Q1,Administrative support workers,Goiás,1114
2012,Q1,Administrative support workers,Distrito Federal,2375
2012,Q1,"Service workers, sellers of trades and markets",Rondônia,1045
2012,Q1,"Service workers, sellers of trades and markets",Acre,856
2012,Q1,"Service workers, sellers of trades and markets",Amazonas,934
2012,Q1,"Service workers, sellers of trades and markets",Roraima,1177
2012,Q1,"Service workers, sellers of trades and markets",Pará,893
2012,Q1,"Service workers, sellers of trades and markets",Amapá,1057
2012,Q1,"Service workers, sellers of trades and markets",Tocantins,1004
2012,Q1,"Service workers, sellers of trades and markets",Maranhão,861
2012,Q1,"Service workers, sellers of trades and markets",Piauí,795
2012,Q1,"Service workers, sellers of trades and markets",Ceará,792
2012,Q1,"Service workers, sellers of trades and markets",Rio Grande do Norte,894
2012,Q1,"Service workers, sellers of trades and markets",Paraíba,783
2012,Q1,"Service workers, sellers of trades and markets",Pernambuco,811
2012,Q1,"Service workers, sellers of trades and markets",Alagoas,842
2012,Q1,"Service workers, sellers of trades and markets",Sergipe,872
2012,Q1,"Service workers, sellers of trades and markets",Bahia,779
2012,Q1,"Service workers, sellers of trades and markets",Minas Gerais,965
2012,Q1,"Service workers, sellers of trades and markets",Espírito Santo,1062
2012,Q1,"Service workers, sellers of trades and markets",Rio de Janeiro,1034
2012,Q1,"Service workers, sellers of trades and markets",São Paulo,1228
2012,Q1,"Service workers, sellers of trades and markets",Paraná,1206
2012,Q1,"Service workers, sellers of trades and markets",Santa Catarina,1248
2012,Q1,"Service workers, sellers of trades and markets",Rio Grande do Sul,1123
2012,Q1,"Service workers, sellers of trades and markets",Mato Grosso do Sul,969
2012,Q1,"Service workers, sellers of trades and markets",Mato Grosso,1225
2012,Q1,"Service workers, sellers of trades and markets",Goiás,1232
2012,Q1,"Service workers, sellers of trades and markets",Distrito Federal,1740
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Rondônia,847
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Acre,784
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Amazonas,472
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Roraima,641
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Pará,564
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Amapá,447
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Tocantins,792
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Maranhão,320
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Piauí,218
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Ceará,297
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Rio Grande do Norte,420
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Paraíba,288
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Pernambuco,378
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Alagoas,485
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Sergipe,487
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Bahia,448
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Minas Gerais,1057
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Espírito Santo,1196
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Rio de Janeiro,1172
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",São Paulo,1119
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Paraná,1322
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Santa Catarina,1329
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Rio Grande do Sul,1228
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Mato Grosso do Sul,1373
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Mato Grosso,1457
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Goiás,1301
2012,Q1,"Skilled workers in agriculture, forestry, hunting and fishing",Distrito Federal,1681
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Rondônia,1210
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Acre,924
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Amazonas,1311
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Roraima,946
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Pará,850
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Amapá,939
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Tocantins,872
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Maranhão,764
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Piauí,681
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Ceará,695
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Rio Grande do Norte,763
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Paraíba,701
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Pernambuco,806
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Alagoas,758
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Sergipe,807
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Bahia,770
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Minas Gerais,1078
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Espírito Santo,1168
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Rio de Janeiro,1186
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",São Paulo,1339
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Paraná,1257
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Santa Catarina,1301
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Rio Grande do Sul,1164
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Mato Grosso do Sul,1149
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Mato Grosso,1140
