year,month,region,state,job_type,jobs
2006,1,Centro-Oeste,Distrito Federal,Alojamento,2647
2006,1,Centro-Oeste,Distrito Federal,Alimentação,5026
2006,1,Centro-Oeste,Distrito Federal,Transporte Terrestre,5400
2006,1,Centro-Oeste,Distrito Federal,Transporte Aquaviário,0
2006,1,Centro-Oeste,Distrito Federal,Transporte Aéreo,637
2006,1,Centro-Oeste,Distrito Federal,Aluguel de Transportes,235
2006,1,Centro-Oeste,Distrito Federal,Agência de Viagem,1453
2006,1,Centro-Oeste,Distrito Federal,Cultura e Lazer,455
2006,1,Centro-Oeste,Goiás,Alojamento,5680
2006,1,Centro-Oeste,Goiás,Alimentação,3059
2006,1,Centro-Oeste,Goiás,Transporte Terrestre,6542
2006,1,Centro-Oeste,Goiás,Transporte Aquaviário,17
2006,1,Centro-Oeste,Goiás,Transporte Aéreo,166
2006,1,Centro-Oeste,Goiás,Aluguel de Transportes,134
2006,1,Centro-Oeste,Goiás,Agência de Viagem,614
2006,1,Centro-Oeste,Goiás,Cultura e Lazer,306
2006,1,Centro-Oeste,Mato Grosso,Alojamento,2205
2006,1,Centro-Oeste,Mato Grosso,Alimentação,1503
2006,1,Centro-Oeste,Mato Grosso,Transporte Terrestre,3117
2006,1,Centro-Oeste,Mato Grosso,Transporte Aquaviário,39
2006,1,Centro-Oeste,Mato Grosso,Transporte Aéreo,116
2006,1,Centro-Oeste,Mato Grosso,Aluguel de Transportes,66
2006,1,Centro-Oeste,Mato Grosso,Agência de Viagem,435
2006,1,Centro-Oeste,Mato Grosso,Cultura e Lazer,63
2006,1,Centro-Oeste,Mato Grosso do Sul,Alojamento,1951
2006,1,Centro-Oeste,Mato Grosso do Sul,Alimentação,1202
2006,1,Centro-Oeste,Mato Grosso do Sul,Transporte Terrestre,2251
2006,1,Centro-Oeste,Mato Grosso do Sul,Transporte Aquaviário,91
2006,1,Centro-Oeste,Mato Grosso do Sul,Transporte Aéreo,63
2006,1,Centro-Oeste,Mato Grosso do Sul,Aluguel de Transportes,42
2006,1,Centro-Oeste,Mato Grosso do Sul,Agência de Viagem,405
2006,1,Centro-Oeste,Mato Grosso do Sul,Cultura e Lazer,99
2006,1,Nordeste,Alagoas,Alojamento,2519
2006,1,Nordeste,Alagoas,Alimentação,1495
2006,1,Nordeste,Alagoas,Transporte Terrestre,1353
2006,1,Nordeste,Alagoas,Transporte Aquaviário,12
