year,quarter,category,state,value
2012,Q1,Workforce - Employed,Rondônia,701
2012,Q1,Workforce - Employed,Acre,286
2012,Q1,Workforce - Employed,Amazonas,1392
2012,Q1,Workforce - Employed,Roraima,170
2012,Q1,Workforce - Employed,Pará,3123
2012,Q1,Workforce - Employed,Amapá,279
2012,Q1,Workforce - Employed,Tocantins,597
2012,Q1,Workforce - Employed,Maranhão,2505
2012,Q1,Workforce - Employed,Piauí,1314
2012,Q1,Workforce - Employed,Ceará,3475
2012,Q1,Workforce - Employed,Rio Grande do Norte,1205
2012,Q1,Workforce - Employed,Paraíba,1499
2012,Q1,Workforce - Employed,Pernambuco,3537
2012,Q1,Workforce - Employed,Alagoas,1033
2012,Q1,Workforce - Employed,Sergipe,848
2012,Q1,Workforce - Employed,Bahia,6074
2012,Q1,Workforce - Employed,Minas Gerais,9282
2012,Q1,Workforce - Employed,Espírito Santo,1715
2012,Q1,Workforce - Employed,Rio de Janeiro,7330
2012,Q1,Workforce - Employed,São Paulo,20541
2012,Q1,Workforce - Employed,Paraná,5196
2012,Q1,Workforce - Employed,Santa Catarina,3254
2012,Q1,Workforce - Employed,Rio Grande do Sul,5396
2012,Q1,Workforce - Employed,Mato Grosso do Sul,1124
2012,Q1,Workforce - Employed,Mato Grosso,1460
2012,Q1,Workforce - Employed,Goiás,3004
2012,Q1,Workforce - Employed,Distrito Federal,1292
2012,Q1,Workforce - Unemployed,Rondônia,61
2012,Q1,Workforce - Unemployed,Acre,28
2012,Q1,Workforce - Unemployed,Amazonas,172
2012,Q1,Workforce - Unemployed,Roraima,16
2012,Q1,Workforce - Unemployed,Pará,268
2012,Q1,Workforce - Unemployed,Amapá,40
2012,Q1,Workforce - Unemployed,Tocantins,55
2012,Q1,Workforce - Unemployed,Maranhão,215
2012,Q1,Workforce - Unemployed,Piauí,109
2012,Q1,Workforce - Unemployed,Ceará,271
2012,Q1,Workforce - Unemployed,Rio Grande do Norte,156
2012,Q1,Workforce - Unemployed,Paraíba,164
2012,Q1,Workforce - Unemployed,Pernambuco,374
2012,Q1,Workforce - Unemployed,Alagoas,131
2012,Q1,Workforce - Unemployed,Sergipe,97
2012,Q1,Workforce - Unemployed,Bahia,790
2012,Q1,Workforce - Unemployed,Minas Gerais,787
2012,Q1,Workforce - Unemployed,Espírito Santo,142
2012,Q1,Workforce - Unemployed,Rio de Janeiro,681
2012,Q1,Workforce - Unemployed,São Paulo,1736
2012,Q1,Workforce - Unemployed,Paraná,306
2012,Q1,Workforce - Unemployed,Santa Catarina,140
2012,Q1,Workforce - Unemployed,Rio Grande do Sul,303
2012,Q1,Workforce - Unemployed,Mato Grosso do Sul,91
2012,Q1,Workforce - Unemployed,Mato Grosso,103
2012,Q1,Workforce - Unemployed,Goiás,202
2012,Q1,Workforce - Unemployed,Distrito Federal,124
2012,Q1,Outside the workforce,Rondônia,464
2012,Q1,Outside the workforce,Acre,226
2012,Q1,Outside the workforce,Amazonas,933
2012,Q1,Outside the workforce,Roraima,114
2012,Q1,Outside the workforce,Pará,2261
2012,Q1,Outside the workforce,Amapá,174
2012,Q1,Outside the workforce,Tocantins,405
2012,Q1,Outside the workforce,Maranhão,2171
2012,Q1,Outside the workforce,Piauí,1037
2012,Q1,Outside the workforce,Ceará,3021
2012,Q1,Outside the workforce,Rio Grande do Norte,1211
2012,Q1,Outside the workforce,Paraíba,1334
2012,Q1,Outside the workforce,Pernambuco,3123
2012,Q1,Outside the workforce,Alagoas,1254
2012,Q1,Outside the workforce,Sergipe,672
2012,Q1,Outside the workforce,Bahia,4268
2012,Q1,Outside the workforce,Minas Gerais,6131
2012,Q1,Outside the workforce,Espírito Santo,1067
2012,Q1,Outside the workforce,Rio de Janeiro,5459
2012,Q1,Outside the workforce,São Paulo,12883
2012,Q1,Outside the workforce,Paraná,3103
2012,Q1,Outside the workforce,Santa Catarina,1869
2012,Q1,Outside the workforce,Rio Grande do Sul,3296
2012,Q1,Outside the workforce,Mato Grosso do Sul,701
2012,Q1,Outside the workforce,Mato Grosso,852
2012,Q1,Outside the workforce,Goiás,1720
2012,Q1,Outside the workforce,Distrito Federal,729
2012,Q2,Workforce - Employed,Rondônia,732
2012,Q2,Workforce - Employed,Acre,299
2012,Q2,Workforce - Employed,Amazonas,1417
2012,Q2,Workforce - Employed,Roraima,176
2012,Q2,Workforce - Employed,Pará,3294
2012,Q2,Workforce - Employed,Amapá,270
2012,Q2,Workforce - Employed,Tocantins,602
2012,Q2,Workforce - Employed,Maranhão,2494
2012,Q2,Workforce - Employed,Piauí,1324
2012,Q2,Workforce - Employed,Ceará,3420
2012,Q2,Workforce - Employed,Rio Grande do Norte,1279
2012,Q2,Workforce - Employed,Paraíba,1521
2012,Q2,Workforce - Employed,Pernambuco,3512
2012,Q2,Workforce - Employed,Alagoas,1016
2012,Q2,Workforce - Employed,Sergipe,858
2012,Q2,Workforce - Employed,Bahia,6107
2012,Q2,Workforce - Employed,Minas Gerais,9631
2012,Q2,Workforce - Employed,Espírito Santo,1768
2012,Q2,Workforce - Employed,Rio de Janeiro,7481
2012,Q2,Workforce - Employed,São Paulo,20814
2012,Q2,Workforce - Employed,Paraná,5304
2012,Q2,Workforce - Employed,Santa Catarina,3326
2012,Q2,Workforce - Employed,Rio Grande do Sul,5457
2012,Q2,Workforce - Employed,Mato Grosso do Sul,1166
2012,Q2,Workforce - Employed,Mato Grosso,1483
2012,Q2,Workforce - Employed,Goiás,3090
2012,Q2,Workforce - Employed,Distrito Federal,1288
2012,Q2,Workforce - Unemployed,Rondônia,49
2012,Q2,Workforce - Unemployed,Acre,29
2012,Q2,Workforce - Unemployed,Amazonas,142
2012,Q2,Workforce - Unemployed,Roraima,11
2012,Q2,Workforce - Unemployed,Pará,276
2012,Q2,Workforce - Unemployed,Amapá,46
2012,Q2,Workforce - Unemployed,Tocantins,50
2012,Q2,Workforce - Unemployed,Maranhão,249
2012,Q2,Workforce - Unemployed,Piauí,99
2012,Q2,Workforce - Unemployed,Ceará,303
2012,Q2,Workforce - Unemployed,Rio Grande do Norte,162
2012,Q2,Workforce - Unemployed,Paraíba,156
2012,Q2,Workforce - Unemployed,Pernambuco,313
2012,Q2,Workforce - Unemployed,Alagoas,135
2012,Q2,Workforce - Unemployed,Sergipe,104
2012,Q2,Workforce - Unemployed,Bahia,771
2012,Q2,Workforce - Unemployed,Minas Gerais,740
2012,Q2,Workforce - Unemployed,Espírito Santo,138
2012,Q2,Workforce - Unemployed,Rio de Janeiro,600
