Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,20183
United Kingdom,"996,375","1,039,891","1,095,652","1,139,478","1,190,601","1,257,474","1,320,127","1,396,274","1,474,922","1,549,821","1,589,931","1,547,562","1,601,926","1,659,784","1,712,320","1,782,109","1,861,964","1,916,896","1,995,478","2,071,458","2,140,278"
England,"846,099","884,019","926,460","964,330","1,010,500","1,067,106","1,118,210","1,180,664","1,245,558","1,312,971","1,343,494","1,313,483","1,359,425","1,406,350","1,454,196","1,514,957","1,590,618","1,646,684","1,717,903","1,783,534","1,839,264"
North East,"32,896","33,658","34,653","36,000","38,548","40,700","43,731","45,614","48,182","49,472","50,719","50,120","51,423","52,850","53,974","54,820","56,454","58,214","59,509","60,987","62,644"
North West,"99,548","104,426","107,165","113,153","119,094","125,852","132,278","138,440","146,710","152,602","154,990","153,415","157,932","161,090","165,656","171,867","178,708","185,262","192,750","200,995","207,452"
Yorkshire and The Humber,"70,749","73,251","75,791","79,199","83,980","89,652","94,353","98,825","103,908","109,510","109,853","107,418","109,309","112,982","115,890","119,483","123,292","128,234","131,876","137,406","141,698"
East Midlands,"61,479","63,476","65,752","68,383","71,323","74,957","78,353","82,276","87,085","90,974","93,435","91,030","95,207","97,949","101,247","105,816","109,692","113,046","117,067","121,012","124,647"
West Midlands,"79,385","82,152","84,542","87,390","91,077","95,562","100,117","104,426","108,637","111,878","114,419","110,219","115,096","120,144","123,844","129,668","135,526","140,587","147,198","153,759","159,832"
East of England,"86,653","90,442","94,963","99,556","104,038","110,558","114,338","120,629","127,148","132,085","135,449","131,354","135,051","138,326","142,533","148,716","157,366","162,872","170,702","180,206","186,462"
London,"190,335","200,479","216,338","223,117","232,219","245,848","259,579","280,562","298,853","326,812","332,447","325,498","336,925","352,678","368,618","388,185","414,649","429,923","455,592","471,147","487,145"
South East,"150,414","157,840","165,350","171,447","179,859","188,504","194,867","204,738","214,598","224,129","232,604","227,029","236,550","245,671","254,395","264,155","275,921","286,544","295,461","304,069","311,300"
South West,"74,640","78,294","81,905","86,086","90,363","95,473","100,594","105,154","110,436","115,507","119,578","117,400","121,932","124,660","128,039","132,247","139,010","142,002","147,748","153,954","158,084"
Wales,"37,400","38,391","40,147","41,335","43,390","46,113","48,787","50,959","53,997","55,900","55,976","54,830","56,719","59,589","61,568","63,939","65,645","67,572","70,437","72,504","74,906"
Scotland,"78,321","79,846","83,015","87,251","91,314","96,485","102,600","108,880","116,327","121,474","125,939","124,547","125,600","130,097","134,115","140,435","146,547","148,243","151,479","156,681","161,295"
Northern Ireland,"22,674","24,046","25,674","26,810","27,862","29,897","31,234","33,044","35,253","36,538","36,819","36,185","36,421","37,725","39,187","40,327","41,701","43,501","45,916","48,667","48,887"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
