"REF_DATE","GEO","DGUID","Traveller category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000-01","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3944186","","","","0"
"2000-02","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4026054","","","","0"
"2000-03","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4118896","","","","0"
"2000-04","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4155376","","","","0"
"2000-05","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4199188","","","","0"
"2000-06","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4074782","","","","0"
"2000-07","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4052098","","","","0"
"2000-08","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4049814","","","","0"
"2000-09","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4125782","","","","0"
"2000-10","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4080712","","","","0"
"2000-11","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4025866","","","","0"
"2000-12","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3784742","","","","0"
"2001-01","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4227876","","","","0"
"2001-02","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4216532","","","","0"
"2001-03","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4287880","","","","0"
"2001-04","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4281448","","","","0"
"2001-05","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4292108","","","","0"
"2001-06","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4265732","","","","0"
"2001-07","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4212332","","","","0"
"2001-08","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","4211380","","","","0"
"2001-09","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3208662","","","","0"
"2001-10","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3016420","","","","0"
"2001-11","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3380496","","","","0"
"2001-12","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3545756","","","","0"
"2002-01","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3673818","","","","0"
"2002-02","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3771572","","","","0"
"2002-03","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3785034","","","","0"
"2002-04","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3875254","","","","0"
"2002-05","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3829298","","","","0"
"2002-06","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3729012","","","","0"
"2002-07","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3745142","","","","0"
"2002-08","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3751724","","","","0"
"2002-09","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3666602","","","","0"
"2002-10","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3670224","","","","0"
"2002-11","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3666878","","","","0"
"2002-12","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3731692","","","","0"
"2003-01","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3676870","","","","0"
"2003-02","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3496260","","","","0"
"2003-03","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","3314900","","","","0"
"2003-04","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2994862","","","","0"
