"REF_DATE","GEO","DGUID","Statistical measures","Long-run variables","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","27953.6","A","","","1"
"2001","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","28990.3","A","","","1"
"2002","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","29463.0","A","","","1"
"2003","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","30197.3","A","","","1"
"2004","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","31558.9","A","","","1"
"2005","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","32846.2","A","","","1"
"2006","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","34731.1","A","","","1"
"2007","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","36614.5","A","","","1"
"2008","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","37845.0","A","","","1"
"2009","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","37648.9","A","","","1"
"2010","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","38639.0","A","","","1"
"2011","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","40158.1","A","","","1"
"2012","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","41462.0","A","","","1"
"2013","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","42666.1","A","","","1"
"2014","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","43781.5","A","","","1"
"2015","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","45512.7","A","","","1"
"2016","Canada","2016A11124","Linked data","Household income per capita","Dollars","81","units","0","v1000000000","1.1.1","45970.7","A","","","1"
"2000","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","6.8","A","","","1"
"2001","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","7.2","A","","","1"
"2002","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","7.7","A","","","1"
"2003","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","7.6","A","","","1"
"2004","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","7.2","A","","","1"
"2005","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","6.8","A","","","1"
"2006","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","6.3","A","","","1"
"2007","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","6.0","A","","","1"
"2008","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","6.1","A","","","1"
"2009","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","8.3","A","","","1"
"2010","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","8.0","A","","","1"
"2011","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","7.5","A","","","1"
"2012","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","7.3","A","","","1"
"2013","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","7.1","A","","","1"
"2014","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","6.9","A","","","1"
"2015","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","6.9","A","","","1"
"2016","Canada","2016A11124","Linked data","Unemployment rate","Percent","239","units","0","v1014028895","1.1.7","7.0","A","","","1"
"2000","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","21813.9","A","","","1"
"2001","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","23178.0","A","","","1"
"2002","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","24035.4","A","","","1"
"2003","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","24835.8","A","","","1"
"2004","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","25701.5","A","","","1"
"2005","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","26641.3","A","","","1"
"2006","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","28978.6","A","","","1"
"2007","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","31473.0","A","","","1"
"2008","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","33668.7","A","","","1"
"2009","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","34904.2","A","","","1"
"2010","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","36126.5","A","","","1"
"2011","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","38728.7","A","","","1"
"2012","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","41420.8","A","","","1"
"2013","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","43449.1","A","","","1"
"2014","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","44933.1","A","","","1"
"2015","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","46604.2","A","","","1"
"2016","Newfoundland and Labrador","2016A000210","Linked data","Household income per capita","Dollars","81","units","0","v1000000006","2.1.1","47589.6","A","","","1"
"2000","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","16.6","A","","","1"
"2001","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","16.0","A","","","1"
"2002","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","16.6","A","","","1"
"2003","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","16.5","A","","","1"
"2004","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","15.6","A","","","1"
"2005","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","15.2","A","","","1"
"2006","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","14.7","A","","","1"
"2007","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","13.5","A","","","1"
"2008","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","13.4","A","","","1"
"2009","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","15.6","A","","","1"
"2010","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","14.6","A","","","1"
"2011","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","12.6","A","","","1"
"2012","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","12.3","A","","","1"
"2013","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","11.6","A","","","1"
"2014","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","12.0","A","","","1"
"2015","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","12.8","A","","","1"
"2016","Newfoundland and Labrador","2016A000210","Linked data","Unemployment rate","Percent","239","units","0","v1014028925","2.1.7","13.4","A","","","1"
"2000","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","23045.4","A","","","1"
"2001","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","23656.4","A","","","1"
"2002","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","25022.6","A","","","1"
"2003","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","25251.2","A","","","1"
"2004","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","25929.5","A","","","1"
"2005","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","26806.4","A","","","1"
"2006","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","28252.3","A","","","1"
"2007","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","29988.2","A","","","1"
"2008","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","31297.7","A","","","1"
"2009","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","32285.3","A","","","1"
"2010","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","33420.9","A","","","1"
"2011","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","34254.8","A","","","1"
"2012","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","35518.3","A","","","1"
"2013","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","36260.8","A","","","1"
"2014","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","37199.7","A","","","1"
"2015","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","38265.3","A","","","1"
"2016","Prince Edward Island","2016A000211","Linked data","Household income per capita","Dollars","81","units","0","v1000000012","3.1.1","39505.7","A","","","1"
"2000","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","12.3","A","","","1"
"2001","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","11.9","A","","","1"
"2002","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","11.7","A","","","1"
"2003","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","10.8","A","","","1"
"2004","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","11.2","A","","","1"
"2005","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","10.9","A","","","1"
"2006","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","11.1","A","","","1"
"2007","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","10.2","A","","","1"
"2008","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","10.8","A","","","1"
"2009","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","11.9","A","","","1"
"2010","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","11.5","A","","","1"
"2011","Prince Edward Island","2016A000211","Linked data","Unemployment rate","Percent","239","units","0","v1014028955","3.1.7","11.1","A","","","1"
